id;produto;categoria;variante_index;variacao;preco
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;0;10cm • 1,0 L/h/gotejador • bobina 200m;72,60
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;1;10cm • 1,5 L/h/gotejador • bobina 200m;75,50
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;2;10cm • 2,6 L/h/gotejador • bobina 200m;79,13
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;3;10cm • 4,0 L/h/gotejador • bobina 200m;83,49
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;4;15cm • 1,0 L/h/gotejador • bobina 200m;66,00
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;5;15cm • 1,5 L/h/gotejador • bobina 200m;68,64
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;6;15cm • 2,6 L/h/gotejador • bobina 200m;71,94
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;7;15cm • 4,0 L/h/gotejador • bobina 200m;75,90
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;8;20cm • 1,0 L/h/gotejador • bobina 200m;60,50
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;9;20cm • 1,5 L/h/gotejador • bobina 200m;62,92
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;10;20cm • 2,6 L/h/gotejador • bobina 200m;65,95
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;11;20cm • 4,0 L/h/gotejador • bobina 200m;69,58
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;12;30cm • 1,0 L/h/gotejador • bobina 200m;55,00
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;13;30cm • 1,5 L/h/gotejador • bobina 200m;57,20
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;14;30cm • 2,6 L/h/gotejador • bobina 200m;59,95
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;15;30cm • 4,0 L/h/gotejador • bobina 200m;63,25
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;16;40cm • 1,0 L/h/gotejador • bobina 200m;50,60
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;17;40cm • 1,5 L/h/gotejador • bobina 200m;52,62
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;18;40cm • 2,6 L/h/gotejador • bobina 200m;55,15
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;19;40cm • 4,0 L/h/gotejador • bobina 200m;58,19
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;20;50cm • 1,0 L/h/gotejador • bobina 200m;46,75
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;21;50cm • 1,5 L/h/gotejador • bobina 200m;48,62
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;22;50cm • 2,6 L/h/gotejador • bobina 200m;50,96
1;Mangueira Gotejadora Jurussu;Mangueiras Gotejadoras;23;50cm • 4,0 L/h/gotejador • bobina 200m;53,76
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;0;10cm • 1,0 L/h/gotejador • bobina 200m;89,76
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;1;10cm • 1,5 L/h/gotejador • bobina 200m;93,35
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;2;10cm • 2,6 L/h/gotejador • bobina 200m;97,84
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;3;10cm • 4,0 L/h/gotejador • bobina 200m;103,22
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;4;15cm • 1,0 L/h/gotejador • bobina 200m;81,60
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;5;15cm • 1,5 L/h/gotejador • bobina 200m;84,86
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;6;15cm • 2,6 L/h/gotejador • bobina 200m;88,94
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;7;15cm • 4,0 L/h/gotejador • bobina 200m;93,84
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;8;20cm • 1,0 L/h/gotejador • bobina 200m;74,80
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;9;20cm • 1,5 L/h/gotejador • bobina 200m;77,79
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;10;20cm • 2,6 L/h/gotejador • bobina 200m;81,53
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;11;20cm • 4,0 L/h/gotejador • bobina 200m;86,02
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;12;30cm • 1,0 L/h/gotejador • bobina 200m;68,00
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;13;30cm • 1,5 L/h/gotejador • bobina 200m;70,72
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;14;30cm • 2,6 L/h/gotejador • bobina 200m;74,12
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;15;30cm • 4,0 L/h/gotejador • bobina 200m;78,20
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;16;40cm • 1,0 L/h/gotejador • bobina 200m;62,56
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;17;40cm • 1,5 L/h/gotejador • bobina 200m;65,06
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;18;40cm • 2,6 L/h/gotejador • bobina 200m;68,19
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;19;40cm • 4,0 L/h/gotejador • bobina 200m;71,94
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;20;50cm • 1,0 L/h/gotejador • bobina 200m;57,80
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;21;50cm • 1,5 L/h/gotejador • bobina 200m;60,11
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;22;50cm • 2,6 L/h/gotejador • bobina 200m;63,00
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;23;50cm • 4,0 L/h/gotejador • bobina 200m;66,47
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;24;99cm • 1,0 L/h/gotejador • bobina 200m;47,60
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;25;99cm • 1,5 L/h/gotejador • bobina 200m;49,50
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;26;99cm • 2,6 L/h/gotejador • bobina 200m;51,88
2;Mangueira Gotejadora Tiquira;Mangueiras Gotejadoras;27;99cm • 4,0 L/h/gotejador • bobina 200m;54,74
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;0;10cm • 1,0 L/h/gotejador • bobina 200m;116,16
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;1;10cm • 1,5 L/h/gotejador • bobina 200m;120,81
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;2;10cm • 2,6 L/h/gotejador • bobina 200m;126,61
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;3;10cm • 4,0 L/h/gotejador • bobina 200m;133,58
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;4;15cm • 1,0 L/h/gotejador • bobina 200m;105,60
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;5;15cm • 1,5 L/h/gotejador • bobina 200m;109,82
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;6;15cm • 2,6 L/h/gotejador • bobina 200m;115,10
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;7;15cm • 4,0 L/h/gotejador • bobina 200m;121,44
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;8;20cm • 1,0 L/h/gotejador • bobina 200m;96,80
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;9;20cm • 1,5 L/h/gotejador • bobina 200m;100,67
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;10;20cm • 2,6 L/h/gotejador • bobina 200m;105,51
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;11;20cm • 4,0 L/h/gotejador • bobina 200m;111,32
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;12;30cm • 1,0 L/h/gotejador • bobina 200m;88,00
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;13;30cm • 1,5 L/h/gotejador • bobina 200m;91,52
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;14;30cm • 2,6 L/h/gotejador • bobina 200m;95,92
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;15;30cm • 4,0 L/h/gotejador • bobina 200m;101,20
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;16;40cm • 1,0 L/h/gotejador • bobina 200m;80,96
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;17;40cm • 1,5 L/h/gotejador • bobina 200m;84,20
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;18;40cm • 2,6 L/h/gotejador • bobina 200m;88,25
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;19;40cm • 4,0 L/h/gotejador • bobina 200m;93,10
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;20;50cm • 1,0 L/h/gotejador • bobina 200m;74,80
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;21;50cm • 1,5 L/h/gotejador • bobina 200m;77,79
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;22;50cm • 2,6 L/h/gotejador • bobina 200m;81,53
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;23;50cm • 4,0 L/h/gotejador • bobina 200m;86,02
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;24;99cm • 1,0 L/h/gotejador • bobina 200m;61,60
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;25;99cm • 1,5 L/h/gotejador • bobina 200m;64,06
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;26;99cm • 2,6 L/h/gotejador • bobina 200m;67,14
3;Mangueira Gotejadora Manári;Mangueiras Gotejadoras;27;99cm • 4,0 L/h/gotejador • bobina 200m;70,84
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;0;15cm • 1,0 L/h/gotejador • bobina 200m;174,00
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;1;15cm • 1,5 L/h/gotejador • bobina 200m;180,96
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;2;15cm • 2,6 L/h/gotejador • bobina 200m;189,66
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;3;15cm • 4,0 L/h/gotejador • bobina 200m;200,10
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;4;20cm • 1,0 L/h/gotejador • bobina 200m;159,50
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;5;20cm • 1,5 L/h/gotejador • bobina 200m;165,88
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;6;20cm • 2,6 L/h/gotejador • bobina 200m;173,86
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;7;20cm • 4,0 L/h/gotejador • bobina 200m;183,43
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;8;30cm • 1,0 L/h/gotejador • bobina 200m;145,00
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;9;30cm • 1,5 L/h/gotejador • bobina 200m;150,80
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;10;30cm • 2,6 L/h/gotejador • bobina 200m;158,05
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;11;30cm • 4,0 L/h/gotejador • bobina 200m;166,75
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;12;40cm • 1,0 L/h/gotejador • bobina 200m;133,40
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;13;40cm • 1,5 L/h/gotejador • bobina 200m;138,74
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;14;40cm • 2,6 L/h/gotejador • bobina 200m;145,41
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;15;40cm • 4,0 L/h/gotejador • bobina 200m;153,41
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;16;50cm • 1,0 L/h/gotejador • bobina 200m;123,25
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;17;50cm • 1,5 L/h/gotejador • bobina 200m;128,18
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;18;50cm • 2,6 L/h/gotejador • bobina 200m;134,34
4;Mangueira Gotejadora Amandi;Mangueiras Gotejadoras;19;50cm • 4,0 L/h/gotejador • bobina 200m;141,74
5;Mangueira de Polietileno Durázio;Mangueira de Polietileno;0;Diâmetro 13mm — bobina 200m;42,00
5;Mangueira de Polietileno Durázio;Mangueira de Polietileno;1;Diâmetro 13mm — bobina 600m;118,00
5;Mangueira de Polietileno Durázio;Mangueira de Polietileno;2;Diâmetro 16mm — bobina 100m;26,00
5;Mangueira de Polietileno Durázio;Mangueira de Polietileno;3;Diâmetro 16mm — bobina 500m;122,00
5;Mangueira de Polietileno Durázio;Mangueira de Polietileno;4;Diâmetro 20mm — bobina 200m;64,00
5;Mangueira de Polietileno Durázio;Mangueira de Polietileno;5;Diâmetro 26mm — bobina 100m;40,00
6;Microaspersor Tinkó;Microaspersores;0;Preto — 40L/h a 20m.c.a (pacote 200un);68,00
6;Microaspersor Tinkó;Microaspersores;1;Verde-claro — 50L/h a 20m.c.a (pacote 200un);70,00
6;Microaspersor Tinkó;Microaspersores;2;Branco — 60L/h a 20m.c.a (pacote 200un);72,00
6;Microaspersor Tinkó;Microaspersores;3;Amarelo — 70L/h a 20m.c.a (pacote 200un);74,00
6;Microaspersor Tinkó;Microaspersores;4;Marrom — 80L/h a 20m.c.a (pacote 200un);76,00
6;Microaspersor Tinkó;Microaspersores;5;Roxo — 90L/h a 20m.c.a (pacote 200un);79,00
6;Microaspersor Tinkó;Microaspersores;6;Verde — 100L/h a 20m.c.a (pacote 200un);82,00
6;Microaspersor Tinkó;Microaspersores;7;Rosa — 110L/h a 20m.c.a (pacote 200un);85,00
6;Microaspersor Tinkó;Microaspersores;8;Laranja — 130L/h a 20m.c.a (pacote 200un);90,00
6;Microaspersor Tinkó;Microaspersores;9;Azul — 170L/h a 20m.c.a (pacote 200un);98,00
7;Microaspersor Tuná (invertido);Microaspersores;0;Preto — 40L/h a 20m.c.a (pacote 200un);73,00
7;Microaspersor Tuná (invertido);Microaspersores;1;Verde-claro — 50L/h a 20m.c.a (pacote 200un);76,00
7;Microaspersor Tuná (invertido);Microaspersores;2;Branco — 60L/h a 20m.c.a (pacote 200un);78,00
7;Microaspersor Tuná (invertido);Microaspersores;3;Amarelo — 70L/h a 20m.c.a (pacote 200un);80,00
7;Microaspersor Tuná (invertido);Microaspersores;4;Marrom — 80L/h a 20m.c.a (pacote 200un);82,00
7;Microaspersor Tuná (invertido);Microaspersores;5;Roxo — 90L/h a 20m.c.a (pacote 200un);85,00
7;Microaspersor Tuná (invertido);Microaspersores;6;Verde — 100L/h a 20m.c.a (pacote 200un);89,00
7;Microaspersor Tuná (invertido);Microaspersores;7;Rosa — 110L/h a 20m.c.a (pacote 200un);92,00
7;Microaspersor Tuná (invertido);Microaspersores;8;Laranja — 130L/h a 20m.c.a (pacote 200un);97,00
7;Microaspersor Tuná (invertido);Microaspersores;9;Azul — 170L/h a 20m.c.a (pacote 200un);106,00
8;Microaspersor Itoman;Microaspersores;0;Modelo A001 — 30L/h a 20m.c.a (pacote 200un);102,00
8;Microaspersor Itoman;Microaspersores;1;Modelo A002 — 40L/h a 20m.c.a (pacote 200un);106,00
8;Microaspersor Itoman;Microaspersores;2;Modelo A003 — 50L/h a 20m.c.a (pacote 200un);110,00
8;Microaspersor Itoman;Microaspersores;3;Modelo A004 — 60L/h a 20m.c.a (pacote 200un);114,00
8;Microaspersor Itoman;Microaspersores;4;Modelo A005 — 70L/h a 20m.c.a (pacote 200un);118,00
